Player_Name,college,Games_Played,Year,Team,Field_Goal_Percentage,Free_Throw_Percentage,Total_Assists,Total_Points,id
"John Mahnken","Georgetown University",24,1950,BOS,0.26,0.64,42,111,153
"John Mandic","Oregon State University",25,1950,TOT,0.29,0.69,8,66,154
"John Mandic","Oregon State University",22,1950,WSC,0.32,0.67,7,62,155
"John Mandic","Oregon State University",3,1950,BLB,0.1,1,1,4,156
"Slater Martin*","University of Texas at Austin",67,1950,MNL,0.35,0.63,148,271,157
"Ariel Maughan","Utah State University",68,1950,STB,0.28,0.77,101,477,158
"Matt Mazza","Michigan State University",26,1950,SHE,0.3,0.71,29,98,159
"Mike McCarron","Seton Hall University",8,1950,TOT,0.2,0.6,3,9,160
"Mike McCarron","Seton Hall University",3,1950,BLB,0.2,0.67,1,4,161
"Mike McCarron","Seton Hall University",5,1950,STB,0.2,0.5,2,5,162
"Dick McGuire*","St. John's University",68,1950,NYK,0.34,0.65,386,584,163
"Bones McKinney","University of North Carolina",53,1950,WSC,0.3,0.78,88,492,164
"Mal McMullen","Xavier University",58,1950,INO,0.32,0.55,87,323,165
"Dick Mehen","University of Tennessee",62,1950,WAT,0.42,0.71,191,892,166
"Ken Menke","University of Illinois at Urbana-Champaign",6,1950,WAT,0.35,0.38,7,15,167
"Stan Miasek",NULL,68,1950,CHS,0.38,0.66,75,498,168
"Ed Mikan","DePaul University",65,1950,TOT,0.28,0.77,42,270,169
"Ed Mikan","DePaul University",21,1950,CHS,0.24,0.78,14,107,170
"Ed Mikan","DePaul University",44,1950,ROC,0.3,0.76,28,163,171
"George Mikan*","DePaul University",68,1950,MNL,0.41,0.78,197,1865,172
"Vern Mikkelsen*","Hamline University",68,1950,MNL,0.4,0.75,123,791,173
"Al Miksis","Western Illinois University",8,1950,WAT,0.24,0.81,4,27,174
"Murray Mitchell","Sam Houston State University",2,1950,AND,0.33,NULL,2,2,175
"Leo Mogus","Youngstown State University",64,1950,PHW,0.4,0.73,99,562,176
"Max Morris","Northwestern University",62,1950,SHE,0.36,0.67,194,781,177
"Joe Mullaney","College of the Holy Cross",37,1950,BOS,0.13,0.8,52,30,178
"Jerry Nagel","Loyola University of Chicago",14,1950,FTW,0.21,0.25,18,13,179
"Jack Nichols","University of Washington",67,1950,TOT,0.37,0.75,142,879,180
"Jack Nichols","University of Washington",49,1950,WSC,0.36,0.74,81,643,181
"Jack Nichols","University of Washington",18,1950,TRI,0.37,0.8,61,236,182
"Richie Niemiera","University of Notre Dame",60,1950,TOT,0.31,0.75,116,324,183
"Richie Niemiera","University of Notre Dame",31,1950,FTW,0.29,0.77,61,174,184
"Richie Niemiera","University of Notre Dame",29,1950,AND,0.36,0.73,55,150,185
"Paul Noel","University of Kentucky",65,1950,NYK,0.34,0.61,67,249,186
"Jim Nolan","Georgia Institute of Technology",5,1950,PHW,0.19,NULL,4,8,187
"Johnny Norlander","Hamline University",40,1950,WSC,0.34,0.62,33,251,188
"George Nostrand","University of Wyoming",55,1950,TOT,0.31,0.57,29,212,189
"George Nostrand","University of Wyoming",18,1950,BOS,0.3,0.61,17,108,190
"George Nostrand","University of Wyoming",1,1950,TRI,0.5,0.4,1,12,191
"George Nostrand","University of Wyoming",36,1950,CHS,0.3,0.51,11,92,192
"Mike Novak","Loyola University of Chicago",60,1950,TOT,0.25,0.53,61,99,193
"Mike Novak","Loyola University of Chicago",5,1950,ROC,0.09,1,4,3,194
"Mike Novak","Loyola University of Chicago",55,1950,PHW,0.26,0.52,57,96,195
"Dermie O'Connell","College of the Holy Cross",61,1950,TOT,0.26,0.53,91,269,196
"Dermie O'Connell","College of the Holy Cross",37,1950,BOS,0.26,0.57,64,177,197
"Dermie O'Connell","College of the Holy Cross",24,1950,STB,0.26,0.45,27,92,198
"Andy O'Donnell","Loyola College in Maryland",25,1950,BLB,0.35,0.78,17,90,199
"Dick O'Keefe","Santa Clara University",68,1950,WSC,0.31,0.74,74,474,200
"John Oldham","Western Kentucky University",59,1950,FTW,0.3,0.71,99,357,201
"Gene Ollrich","Drake University",14,1950,WAT,0.24,0.71,24,44,202
"Johnny Orr","Beloit College",34,1950,TOT,0.34,0.86,20,92,203
"Johnny Orr","Beloit College",21,1950,STB,0.36,0.86,6,40,204
"Johnny Orr","Beloit College",13,1950,WAT,0.32,0.86,14,52,205
"Don Otten","Bowling Green State University",64,1950,TOT,0.37,0.74,91,825,206
"Don Otten","Bowling Green State University",46,1950,TRI,0.37,0.72,73,556,207
"Don Otten","Bowling Green State University",18,1950,WSC,0.39,0.78,18,269,208
"Mac Otten","Bowling Green State University",59,1950,TOT,0.33,0.49,36,142,209
"Mac Otten","Bowling Green State University",12,1950,TRI,0.35,0.68,11,39,210
"Mac Otten","Bowling Green State University",47,1950,STB,0.32,0.42,25,103,211
"Red Owens","Baylor University",61,1950,TOT,0.3,0.67,73,240,212
"Red Owens","Baylor University",26,1950,TRI,0.31,0.68,32,124,213
"Red Owens","Baylor University",35,1950,AND,0.29,0.67,41,116,214
"Easy Parham","Texas Wesleyan University",66,1950,STB,0.33,0.49,132,362,215
"Jack Parkinson","University of Kentucky",4,1950,INO,0.08,1,2,3,216
"Charlie Parsley","Western Kentucky University",9,1950,PHW,0.26,0.86,8,22,217
"Stan Patrick","University of Illinois at Urbana-Champaign",53,1950,TOT,0.4,0.61,74,321,218
"Stan Patrick","University of Illinois at Urbana-Champaign",34,1950,WAT,0.42,0.65,41,228,219
"Stan Patrick","University of Illinois at Urbana-Champaign",19,1950,SHE,0.35,0.49,33,93,220
"Johnny Payak","Bowling Green State University",52,1950,TOT,0.3,0.7,86,317,221
"Johnny Payak","Bowling Green State University",17,1950,PHW,0.38,0.62,8,37,222
"Johnny Payak","Bowling Green State University",35,1950,WAT,0.29,0.71,78,280,223
"Warren Perkins","Tulane University",60,1950,TRI,0.3,0.59,114,371,224
"Ed Peterson","Cornell University",62,1950,SYR,0.43,0.6,33,445,225
"Jack Phelan","DePaul University",55,1950,TOT,0.33,0.58,57,226,226
"Jack Phelan","DePaul University",15,1950,WAT,0.35,0.54,16,61,227
"Jack Phelan","DePaul University",40,1950,SHE,0.32,0.59,41,165,228
"Andy Phillip*","University of Illinois at Urbana-Champaign",65,1950,CHS,0.35,0.7,377,758,229
"Jim Pollard*","Stanford University",66,1950,MNL,0.35,0.76,252,973,230
"John Pritchard","Drake University",7,1950,WAT,0.31,0.36,8,22,231
"Les Pugh","Ohio State University",56,1950,BLB,0.25,0.85,16,251,232
"Don Putman",NULL,57,1950,STB,0.26,0.64,90,135,233
"George Ratkovicz",NULL,62,1950,SYR,0.37,0.61,124,535,234
"Don Ray","Western Kentucky University",61,1950,TRI,0.32,0.7,60,364,235
"Chick Reiser","New York University",67,1950,WSC,0.31,0.84,174,606,236
"Arnie Risen*","Ohio State University",62,1950,ROC,0.34,0.66,92,625,237
"Tex Ritter","Eastern Kentucky University",62,1950,NYK,0.34,0.71,51,325,238
"Bill Roberts","University of Wyoming",67,1950,STB,0.35,0.72,24,182,239
"Red Rocha","Oregon State University",65,1950,STB,0.41,0.7,155,770,240
"Kenny Rollins","University of Kentucky",66,1950,CHS,0.34,0.74,131,354,241
"Bob Royer","Indiana State University",42,1950,DNN,0.34,0.71,85,197,242
"Jerry Rullo","Temple University",4,1950,PHW,0.33,1,2,7,243
"Ed Sadowski","Seton Hall University",69,1950,TOT,0.32,0.74,136,872,244
